ordering,model,coverage,n,pos,neg,pos_rate,pred_pos,pred_pos_rate,auc,ap,bacc,f1,sensitivity,specificity,tn,fp,fn,tp,max_uncertainty_kept,mean_uncertainty_kept
origin_by_edl_uncertainty,origin,0.1,841,8,833,0.009512485136741973,121,0.14387633769322236,0.6563625450180072,0.016921489508612532,0.4904711884753902,0.015503875968992248,0.125,0.8559423769507803,713,120,7,1,0.1475539,0.14735601234244947
origin_by_edl_uncertainty,origin,0.2,1682,13,1669,0.0077288941736028535,122,0.07253269916765755,0.6240494077522238,0.013673095693175905,0.5022122874130064,0.014814814814814815,0.07692307692307693,0.9275014979029359,1548,121,12,1,0.14760374,0.14746954365636147
origin_by_edl_uncertainty,origin,0.3,2523,20,2503,0.007927070947284977,123,0.04875148632580262,0.5827407111466241,0.012683163721606848,0.5006292449061127,0.013986013986013986,0.05,0.9512584898122254,2381,122,19,1,0.14762786,0.14751847936583432
origin_by_edl_uncertainty,origin,0.4,3364,28,3336,0.008323424494649227,124,0.036860879904875146,0.5987495717711545,0.01398494266799101,0.4994218910585817,0.013157894736842105,0.03571428571428571,0.9631294964028777,3213,123,27,1,0.14764643,0.14754817531212844
origin_by_edl_uncertainty,origin,0.5,4204,32,4172,0.007611798287345386,124,0.029495718363463368,0.6346027085330779,0.01433779077584629,0.5008838686481304,0.01282051282051282,0.03125,0.9705177372962608,4049,123,31,1,0.14766309,0.14756952953377736
origin_by_edl_uncertainty,origin,0.6,5045,34,5011,0.006739345887016849,124,0.024578790882061448,0.6332949863242043,0.0133031956069668,0.502432882951624,0.012658227848101266,0.029411764705882353,0.9754540011973658,4888,123,33,1,0.14767809,0.14758634852725472
origin_by_edl_uncertainty,origin,0.7,5886,39,5847,0.006625891946992864,128,0.021746517159361198,0.6405322913788793,0.013013703511766556,0.5019602425964663,0.011976047904191617,0.02564102564102564,0.978279459551907,5720,127,38,1,0.1476948,0.14760060404689093
origin_by_edl_uncertainty,origin,0.8,6727,46,6681,0.0068381150587185965,128,0.01902779842426044,0.6297303189447037,0.013338134855276327,0.5013650000325388,0.011494252873563218,0.021739130434782608,0.9809908696302949,6554,127,45,1,0.14771412,0.14761354884198008
origin_by_edl_uncertainty,origin,0.85,7148,49,7099,0.006855064353665361,130,0.018186905428091774,0.6528326783594125,0.016159643903435942,0.5216673230779846,0.0335195530726257,0.061224489795918366,0.9821101563600507,6972,127,46,3,0.14772782,0.14761987263570228
origin_by_edl_uncertainty,origin,0.9,7568,50,7518,0.0066067653276955605,133,0.01757399577167019,0.6519725990955041,0.015512821720859129,0.5213540835328545,0.03278688524590164,0.06,0.982708167065709,7388,130,47,3,0.14774467,0.1476262628686575
