ordering,model,coverage,n,pos,neg,pos_rate,pred_pos,pred_pos_rate,auc,ap,bacc,f1,sensitivity,specificity,tn,fp,fn,tp,max_uncertainty_kept,mean_uncertainty_kept
edl_by_edl_uncertainty,edl_lambda0.1,0.1,841,8,833,0.009512485136741973,273,0.32461355529131986,0.6236494597839135,0.017171664307516616,0.5885354141656662,0.028469750889679714,0.5,0.6770708283313326,564,269,4,4,0.1475539,0.14735601234244947
edl_by_edl_uncertainty,edl_lambda0.1,0.2,1682,13,1669,0.0077288941736028535,347,0.20630202140309156,0.574319030280684,0.012154711067319031,0.5510900124441167,0.022222222222222223,0.3076923076923077,0.7944877171959257,1326,343,9,4,0.14760374,0.14746954365636147
edl_by_edl_uncertainty,edl_lambda0.1,0.3,2523,20,2503,0.007927070947284977,378,0.14982164090368608,0.5990811026767878,0.011951616622601682,0.5252896524170995,0.020100502512562814,0.2,0.850579304834199,2129,374,16,4,0.14762786,0.14751847936583432
edl_by_edl_uncertainty,edl_lambda0.1,0.4,3364,28,3336,0.008323424494649227,406,0.1206896551724138,0.658359027064063,0.013829918056249875,0.5291837958204865,0.02304147465437788,0.17857142857142858,0.8797961630695443,2935,401,23,5,0.14764643,0.14754817531212844
edl_by_edl_uncertainty,edl_lambda0.1,0.5,4204,32,4172,0.007611798287345386,429,0.10204567078972407,0.6627591682646213,0.013118214175079582,0.5273100431447747,0.021691973969631236,0.15625,0.8983700862895494,3748,424,27,5,0.14766309,0.14756952953377736
edl_by_edl_uncertainty,edl_lambda0.1,0.6,5045,34,5011,0.006739345887016849,441,0.08741328047571853,0.669673776515196,0.012188456897942632,0.5300251212039395,0.021052631578947368,0.14705882352941177,0.9129914188784674,4575,436,29,5,0.14767809,0.14758634852725472
edl_by_edl_uncertainty,edl_lambda0.1,0.7,5886,39,5847,0.006625891946992864,467,0.07934080869860687,0.6543000355211747,0.011966821647856792,0.5375011511491758,0.023715415019762844,0.15384615384615385,0.9211561484521977,5386,461,33,6,0.1476948,0.14760060404689093
edl_by_edl_uncertainty,edl_lambda0.1,0.8,6727,46,6681,0.0068381150587185965,499,0.07417868291957783,0.6201915880856158,0.011002404479695343,0.5283217170040934,0.022018348623853212,0.13043478260869565,0.926208651399491,6188,493,40,6,0.14771412,0.14761354884198008
edl_by_edl_uncertainty,edl_lambda0.1,0.85,7148,49,7099,0.006855064353665361,520,0.0727476217123671,0.6405098734803121,0.015393889780972708,0.5455712359602244,0.028119507908611598,0.16326530612244897,0.9278771657979997,6587,512,41,8,0.14772782,0.14761987263570228
edl_by_edl_uncertainty,edl_lambda0.1,0.9,7568,50,7518,0.0066067653276955605,538,0.07108879492600423,0.6398164405426976,0.014427729839418094,0.5447512636339452,0.027210884353741496,0.16,0.9295025272678904,6988,530,42,8,0.14774467,0.1476262628686575
edl_by_edl_uncertainty,edl_lambda0.1,0.95,7989,53,7936,0.00663412191763675,579,0.07247465264739016,0.6418684380706026,0.014231594005856078,0.5489933619902617,0.028481012658227847,0.16981132075471697,0.9281754032258065,7366,570,44,9,0.14778554,0.1476333671072725
edl_by_edl_uncertainty,edl_lambda0.1,1.0,8409,66,8343,0.00784873349982162,899,0.10690926388393387,0.6876132776887901,0.038204678198544596,0.6064719470868338,0.043523316062176166,0.3181818181818182,0.8947620759918494,7465,878,45,21,0.14995676,0.14765798427993815
origin_by_origin_entropy,origin,0.1,841,4,837,0.0047562425683709865,62,0.07372175980975029,0.5238948626045401,0.006279504686491533,0.46296296296296297,0.0,0.0,0.9259259259259259,775,62,4,0,0.9909728935327783,0.9899527988627126
