model,uncertainty,tail,which,n,pos,pos_rate,TN,FP,FN,TP,error_rate,fp_rate_among_neg,fn_rate_among_pos,mean_uncertainty
edl_lambda0.1,edl_uncertainty,0.05,lowest,420,5,0.011904761904761904,220,195,3,2,0.4714285714285714,0.46987951807228917,0.6,0.14718779542857144
edl_lambda0.1,edl_uncertainty,0.05,highest,420,13,0.030952380952380953,99,308,1,12,0.7357142857142858,0.7567567567567568,0.07692307692307693,0.14812623807142858
edl_lambda0.1,edl_uncertainty,0.1,lowest,841,8,0.009512485136741973,564,269,4,4,0.32461355529131986,0.32292917166866747,0.5,0.14735601234244947
edl_lambda0.1,edl_uncertainty,0.1,highest,841,16,0.019024970273483946,477,348,3,13,0.4173602853745541,0.4218181818181818,0.1875,0.1479434392627824
edl_lambda0.1,edl_uncertainty,0.2,lowest,1682,13,0.0077288941736028535,1326,343,9,4,0.20927467300832342,0.2055122828040743,0.6923076923076923,0.14746954365636147
edl_lambda0.1,edl_uncertainty,0.2,highest,1682,20,0.011890606420927468,1277,385,5,15,0.2318668252080856,0.23164861612515042,0.25,0.1478356996135553
edl_lambda0.1,edl_uncertainty,0.3,lowest,2523,20,0.007927070947284977,2129,374,16,4,0.1545778834720571,0.14942069516580103,0.8,0.14751847936583432
edl_lambda0.1,edl_uncertainty,0.3,highest,2523,27,0.01070154577883472,2079,417,12,15,0.1700356718192628,0.16706730769230768,0.4444444444444444,0.1477918487475228
edl_lambda0.1,edl_uncertainty,0.5,lowest,4204,32,0.007611798287345386,3748,424,27,5,0.10727878211227403,0.10162991371045062,0.84375,0.14756952953377736
edl_lambda0.1,edl_uncertainty,0.5,highest,4204,34,0.008087535680304472,3716,454,18,16,0.11227402473834443,0.10887290167865707,0.5294117647058824,0.14774643780209326
origin,origin_entropy,0.05,lowest,420,1,0.002380952380952381,357,62,1,0,0.15,0.14797136038186157,1.0,0.9890786928479028
origin,origin_entropy,0.05,highest,420,18,0.04285714285714286,304,98,11,7,0.25952380952380955,0.24378109452736318,0.6111111111111112,0.999453561356415
origin,origin_entropy,0.1,lowest,841,4,0.0047562425683709865,775,62,4,0,0.07847800237812129,0.07407407407407407,1.0,0.9899527988627126
origin,origin_entropy,0.1,highest,841,24,0.028537455410225922,693,124,17,7,0.16765755053507728,0.15177478580171358,0.7083333333333334,0.9983934419120797
origin,origin_entropy,0.2,lowest,1682,6,0.0035671819262782403,1613,63,6,0,0.04102259215219976,0.03758949880668258,1.0,0.9905802634229703
origin,origin_entropy,0.2,highest,1682,35,0.020808561236623068,1516,131,27,8,0.093935790725327,0.07953855494839102,0.7714285714285715,0.9968851699327766
origin,origin_entropy,0.3,lowest,2523,8,0.0031708283789139914,2450,65,8,0,0.02893380895759017,0.02584493041749503,1.0,0.9909170488060529
origin,origin_entropy,0.3,highest,2523,39,0.015457788347205707,2348,136,30,9,0.06579468886246533,0.05475040257648953,0.7692307692307693,0.995936927304763
origin,origin_entropy,0.5,lowest,4204,16,0.003805899143672693,4117,71,16,0,0.020694576593720267,0.016953199617956063,1.0,0.9914086135461779
origin,origin_entropy,0.5,highest,4204,50,0.011893434823977164,4011,143,41,9,0.04376784015223597,0.034424650938854114,0.82,0.994776281964923
