model,uncertainty,group_by,group,n,pos,unc_mean,unc_median,unc_q05,unc_q10,unc_q25,unc_q75,unc_q90,unc_q95,score_mean
edl_lambda0.1,edl_uncertainty,true_label,0,8343,0,0.14765691892724442,0.14766309,0.147481847,0.14755416799999999,0.14761660999999998,0.147703685,0.147744384,0.14778408199999998,0.481530208578449
edl_lambda0.1,edl_uncertainty,true_label,1,66,66,0.14779265454545454,0.147674275,0.1474631625,0.14749105,0.1476177675,0.14772956999999998,0.14845515,0.148802205,0.5055368737878789
edl_lambda0.1,edl_uncertainty,outcome,FN,45,45,0.1476362057777778,0.14764367,0.14746505,0.1475623,0.14761701,0.14769751,0.147716392,0.147757532,0.47943326333333325
edl_lambda0.1,edl_uncertainty,outcome,FP,878,0,0.14770552167425968,0.14768087,0.14670595449999999,0.147071087,0.147507935,0.1479439725,0.148343172,0.14859163449999999,0.5367198440888382
edl_lambda0.1,edl_uncertainty,outcome,TN,7465,0,0.1476512024889484,0.14766286,0.147524424,0.14757219600000002,0.1476204,0.14769992,0.147731932,0.147751656,0.4750390498405894
edl_lambda0.1,edl_uncertainty,outcome,TP,21,21,0.14812790190476194,0.14800069,0.14747919,0.14748514,0.14768058,0.14871176,0.14895935,0.1489981,0.5614731819047618
origin,origin_entropy,true_label,0,8343,0,0.9930756354525995,0.9925335394443366,0.9906522308179574,0.9909720674856284,0.9915901037305931,0.9940012891798095,0.9963304838282329,0.9983922939610722,0.45413808194721944
origin,origin_entropy,true_label,1,66,66,0.9952093637482197,0.994816992442252,0.990883508810532,0.991493313689457,0.9926141010279903,0.9986528117525504,0.9993543921884818,0.9996477244185062,0.46785791173125757
origin,origin_entropy,outcome,FN,57,57,0.9947063657457605,0.9937587525564077,0.9908339964051591,0.9913959895652171,0.9922668178859909,0.9967555564930441,0.9992945015564099,0.9993868855575129,0.45970239137348373
origin,origin_entropy,outcome,FP,214,0,0.9933710633311654,0.99799145498918,0.9748780967430837,0.9801698447893488,0.9890214458891257,0.9997759924697591,0.9999703792635778,0.9999913929325004,0.5363708444844897
origin,origin_entropy,outcome,TN,8129,0,0.9930678581656006,0.9925109008725211,0.9906974516671219,0.9909942976265318,0.991593306789604,0.9939130692728423,0.996026958090508,0.9977490790574138,0.4519732632508268
origin,origin_entropy,outcome,TP,9,9,0.9983950177637912,0.9989765392518123,0.9949947799906061,0.9958843517268456,0.9985135105405852,0.9996723675563642,0.9999136920684433,0.9999565682379395,0.5195095406638252
