model_uncertainty,uncertainty,target,spearman,pearson
edl_lambda0.1,edl_uncertainty,y,0.01348718008496771,0.0612883067777713
edl_lambda0.1,edl_uncertainty,edl_score,-0.3553160808317143,0.2400107261650053
edl_lambda0.1,edl_uncertainty,origin_score,-0.14075321648211467,-0.20066580722241764
edl_lambda0.1,edl_uncertainty,edl_pred,0.04101010208178304,0.10162400483144549
edl_lambda0.1,edl_uncertainty,origin_pred,-0.03653026809353164,-0.17428651901488418
edl_lambda0.1,edl_uncertainty,edl_uncertainty,1.0,1.0
edl_lambda0.1,edl_uncertainty,origin_entropy,-0.10284012100434921,0.1957355632238309
edl_lambda0.1,edl_uncertainty,error,0.03099290365184623,0.0793377772031248
edl_lambda0.1,edl_uncertainty,FP,0.034614905538294036,0.08305224337589677
edl_lambda0.1,edl_uncertainty,FN,-0.012292446634570053,-0.008173768118026508
origin,origin_entropy,y,0.06089674478422725,0.07471158287090204
origin,origin_entropy,edl_score,0.4625244710956132,0.4912119849032318
origin,origin_entropy,origin_score,0.9518140704942679,0.31612440497649075
origin,origin_entropy,edl_pred,0.39236832211601363,0.45062588388917535
origin,origin_entropy,origin_pred,0.08872906094454266,0.0315297113242939
origin,origin_entropy,edl_uncertainty,-0.10284012100434921,0.1957355632238309
origin,origin_entropy,origin_entropy,1.0,1.0
origin,origin_entropy,error,0.09269728095386842,0.04051494947083056
origin,origin_entropy,FP,0.0801770554586035,0.017868971736755866
origin,origin_entropy,FN,0.04563014953492117,0.05290555644920826
