model,uncertainty,decile,n,unc_min,unc_max,unc_mean,true_pos_rate,pred_pos_rate,score_mean,TN,FP,FN,TP
edl_lambda0.1,edl_uncertainty,D1,841,0.14582132,0.1475539,0.14735601234244947,0.009512485136741973,0.32461355529131986,0.4973904424137931,564,269,4,4
edl_lambda0.1,edl_uncertainty,D2,841,0.14755403,0.14760374,0.1475830749702735,0.005945303210463734,0.08799048751486326,0.4846023763614744,762,74,5,0
edl_lambda0.1,edl_uncertainty,D3,841,0.14760377,0.14762786,0.14761635078478003,0.008323424494649227,0.036860879904875146,0.4802000749583829,803,31,7,0
edl_lambda0.1,edl_uncertainty,D4,841,0.14762786,0.14764643,0.1476372631510107,0.009512485136741973,0.03329369797859691,0.47913815681331745,806,27,7,1
edl_lambda0.1,edl_uncertainty,D5,841,0.14764644,0.14766313,0.14765505771700357,0.0047562425683709865,0.027348394768133173,0.47721266216409036,814,23,4,0
edl_lambda0.1,edl_uncertainty,D6,840,0.14766316,0.14767809,0.14767043217857143,0.002380952380952381,0.014285714285714285,0.47539284626190476,826,12,2,0
edl_lambda0.1,edl_uncertainty,D7,841,0.1476781,0.1476948,0.1476861202140309,0.005945303210463734,0.030915576694411414,0.47445192904875144,811,25,4,1
edl_lambda0.1,edl_uncertainty,D8,841,0.1476949,0.14771412,0.14770414701545778,0.008323424494649227,0.03804994054696789,0.4730059511533889,802,32,7,0
edl_lambda0.1,edl_uncertainty,D9,841,0.14771418,0.14774467,0.14772795996432816,0.0047562425683709865,0.04637336504161712,0.4709316719381688,800,37,2,2
edl_lambda0.1,edl_uncertainty,D10,841,0.14774477,0.14995676,0.1479434392627824,0.019024970273483946,0.4292508917954816,0.5048526721046372,477,348,3,13
origin,origin_entropy,D1,841,0.9549001440597343,0.9909728935327783,0.9899527988627126,0.0047562425683709865,0.07372175980975029,0.453016155504585,775,62,4,0
origin,origin_entropy,D2,841,0.9909731058282369,0.9914095929484287,0.991207727983228,0.0023781212841854932,0.0011890606420927466,0.44498702313188426,838,1,2,0
origin,origin_entropy,D3,841,0.9914097153054099,0.9917694604478342,0.991590619572218,0.0023781212841854932,0.0023781212841854932,0.4463255845196324,837,2,2,0
origin,origin_entropy,D4,841,0.9917697091617865,0.9921471112384983,0.9919529551675699,0.0047562425683709865,0.0047562425683709865,0.4477455865826533,833,4,4,0
origin,origin_entropy,D5,841,0.992147228195102,0.9925438597527043,0.9923403160217438,0.0047562425683709865,0.0023781212841854932,0.4487667029167611,835,2,4,0
origin,origin_entropy,D6,840,0.9925449641354328,0.9929961702100004,0.9927665401120284,0.005952380952380952,0.0035714285714285713,0.45033394641109875,832,3,5,0
origin,origin_entropy,D7,841,0.992996526949516,0.9936236775110004,0.9933016980933591,0.007134363852556481,0.0047562425683709865,0.45231267047977336,831,4,6,0
origin,origin_entropy,D8,841,0.9936257354303842,0.9945554857756641,0.9940404420487359,0.0047562425683709865,0.007134363852556481,0.4552457857429627,832,5,3,1
origin,origin_entropy,D9,841,0.9945565410887014,0.9964114170396504,0.9953768979534734,0.013079667063020214,0.009512485136741973,0.46079209230742757,823,7,10,1
origin,origin_entropy,D10,841,0.996412370396648,0.9999999987442568,0.9983934419120797,0.028537455410225922,0.15576694411414982,0.48292745336199205,693,124,17,7
