model,coverage,n,pos,neg,pred_pos,pred_pos_rate,auc,ap,bacc,f1,sensitivity,specificity,tn,fp,fn,tp,max_uncertainty_kept,mean_uncertainty_kept
edl_lambda0.1_native0.5,0.3,2523,20,2503,378,0.14982164090368608,0.5990811026767878,0.011951616622601682,0.5252896524170995,0.020100502512562814,0.2,0.850579304834199,2129,374,16,4,0.14762786,0.14751847936583432
origin_native0.5_on_edl_low_unc,0.3,2523,20,2503,123,0.04875148632580262,0.5827407111466241,0.012683163721606848,0.5006292449061127,0.013986013986013986,0.05,0.9512584898122254,2381,122,19,1,0.14762786,0.14751847936583432
edl_lambda0.1_native0.5,0.4,3364,28,3336,406,0.1206896551724138,0.658359027064063,0.013829918056249875,0.5291837958204865,0.02304147465437788,0.17857142857142858,0.8797961630695443,2935,401,23,5,0.14764643,0.14754817531212844
origin_native0.5_on_edl_low_unc,0.4,3364,28,3336,124,0.036860879904875146,0.5987495717711545,0.01398494266799101,0.4994218910585817,0.013157894736842105,0.03571428571428571,0.9631294964028777,3213,123,27,1,0.14764643,0.14754817531212844
edl_lambda0.1_native0.5,0.5,4204,32,4172,429,0.10204567078972407,0.6627591682646213,0.013118214175079582,0.5273100431447747,0.021691973969631236,0.15625,0.8983700862895494,3748,424,27,5,0.14766309,0.14756952953377736
origin_native0.5_on_edl_low_unc,0.5,4204,32,4172,124,0.029495718363463368,0.6346027085330779,0.01433779077584629,0.5008838686481304,0.01282051282051282,0.03125,0.9705177372962608,4049,123,31,1,0.14766309,0.14756952953377736
edl_lambda0.1_native0.5,0.6,5045,34,5011,441,0.08741328047571853,0.669673776515196,0.012188456897942632,0.5300251212039395,0.021052631578947368,0.14705882352941177,0.9129914188784674,4575,436,29,5,0.14767809,0.14758634852725472
origin_native0.5_on_edl_low_unc,0.6,5045,34,5011,124,0.024578790882061448,0.6332949863242043,0.0133031956069668,0.502432882951624,0.012658227848101266,0.029411764705882353,0.9754540011973658,4888,123,33,1,0.14767809,0.14758634852725472
edl_lambda0.1_native0.5,0.7,5886,39,5847,467,0.07934080869860687,0.6543000355211747,0.011966821647856792,0.5375011511491758,0.023715415019762844,0.15384615384615385,0.9211561484521977,5386,461,33,6,0.1476948,0.14760060404689093
origin_native0.5_on_edl_low_unc,0.7,5886,39,5847,128,0.021746517159361198,0.6405322913788793,0.013013703511766556,0.5019602425964663,0.011976047904191617,0.02564102564102564,0.978279459551907,5720,127,38,1,0.1476948,0.14760060404689093
edl_lambda0.1_native0.5,0.8,6727,46,6681,499,0.07417868291957783,0.6201915880856158,0.011002404479695343,0.5283217170040934,0.022018348623853212,0.13043478260869565,0.926208651399491,6188,493,40,6,0.14771412,0.14761354884198008
origin_native0.5_on_edl_low_unc,0.8,6727,46,6681,128,0.01902779842426044,0.6297303189447037,0.013338134855276327,0.5013650000325388,0.011494252873563218,0.021739130434782608,0.9809908696302949,6554,127,45,1,0.14771412,0.14761354884198008
edl_lambda0.1_native0.5,0.85,7148,49,7099,520,0.0727476217123671,0.6405098734803121,0.015393889780972708,0.5455712359602244,0.028119507908611598,0.16326530612244897,0.9278771657979997,6587,512,41,8,0.14772782,0.14761987263570228
origin_native0.5_on_edl_low_unc,0.85,7148,49,7099,130,0.018186905428091774,0.6528326783594125,0.016159643903435942,0.5216673230779846,0.0335195530726257,0.061224489795918366,0.9821101563600507,6972,127,46,3,0.14772782,0.14761987263570228
edl_lambda0.1_native0.5,0.9,7568,50,7518,538,0.07108879492600423,0.6398164405426976,0.014427729839418094,0.5447512636339452,0.027210884353741496,0.16,0.9295025272678904,6988,530,42,8,0.14774467,0.1476262628686575
origin_native0.5_on_edl_low_unc,0.9,7568,50,7518,133,0.01757399577167019,0.6519725990955041,0.015512821720859129,0.5213540835328545,0.03278688524590164,0.06,0.982708167065709,7388,130,47,3,0.14774467,0.1476262628686575
edl_lambda0.1_native0.5,0.95,7989,53,7936,579,0.07247465264739016,0.6418684380706026,0.014231594005856078,0.5489933619902617,0.028481012658227847,0.16981132075471697,0.9281754032258065,7366,570,44,9,0.14778554,0.1476333671072725
origin_native0.5_on_edl_low_unc,0.95,7989,53,7936,136,0.01702340718487921,0.6518837016889836,0.014999910030206714,0.5199223505021303,0.031746031746031744,0.05660377358490566,0.9832409274193549,7803,133,50,3,0.14778554,0.1476333671072725
edl_lambda0.1_native0.5,1.0,8409,66,8343,899,0.10690926388393387,0.6876132776887901,0.038204678198544596,0.6064719470868338,0.043523316062176166,0.3181818181818182,0.8947620759918494,7465,878,45,21,0.14995676,0.14765798427993815
origin_native0.5_on_edl_low_unc,1.0,8409,66,8343,223,0.026519205613033656,0.6959082010322573,0.022296330985846744,0.5553566953243328,0.06228373702422145,0.13636363636363635,0.9743497542850293,8129,214,57,9,0.14995676,0.14765798427993815
