tail,which,model,n,pos,true_pos_rate,TN,FP,FN,TP,error_rate,fp_rate_among_neg,fn_rate_among_pos,mean_uncertainty
0.05,highest_unc,edl,420,13,0.030952380952380953,99,308,1,12,0.7357142857142858,0.7567567567567568,0.07692307692307693,0.14812623807142858
0.05,highest_unc,origin,420,13,0.030952380952380953,326,81,7,6,0.20952380952380953,0.19901719901719903,0.5384615384615384,0.14812623807142858
0.05,lowest_unc,edl,420,5,0.011904761904761904,220,195,3,2,0.4714285714285714,0.46987951807228917,0.6,0.14718779542857144
0.05,lowest_unc,origin,420,5,0.011904761904761904,299,116,4,1,0.2857142857142857,0.27951807228915665,0.8,0.14718779542857144
0.1,highest_unc,edl,841,16,0.019024970273483946,477,348,3,13,0.4173602853745541,0.4218181818181818,0.1875,0.1479434392627824
0.1,highest_unc,origin,841,16,0.019024970273483946,741,84,10,6,0.1117717003567182,0.10181818181818182,0.625,0.1479434392627824
0.1,lowest_unc,edl,841,8,0.009512485136741973,564,269,4,4,0.32461355529131986,0.32292917166866747,0.5,0.14735601234244947
0.1,lowest_unc,origin,841,8,0.009512485136741973,713,120,7,1,0.15101070154577884,0.14405762304921968,0.875,0.14735601234244947
0.2,highest_unc,edl,1682,20,0.011890606420927468,1277,385,5,15,0.2318668252080856,0.23164861612515042,0.25,0.1478356996135553
0.2,highest_unc,origin,1682,20,0.011890606420927468,1575,87,12,8,0.058858501783590964,0.052346570397111915,0.6,0.1478356996135553
0.2,lowest_unc,edl,1682,13,0.0077288941736028535,1326,343,9,4,0.20927467300832342,0.2055122828040743,0.6923076923076923,0.14746954365636147
0.2,lowest_unc,origin,1682,13,0.0077288941736028535,1548,121,12,1,0.07907253269916766,0.07249850209706411,0.9230769230769231,0.14746954365636147
0.3,highest_unc,edl,2523,27,0.01070154577883472,2079,417,12,15,0.1700356718192628,0.16706730769230768,0.4444444444444444,0.1477918487475228
0.3,highest_unc,origin,2523,27,0.01070154577883472,2409,87,19,8,0.04201347602061038,0.03485576923076923,0.7037037037037037,0.1477918487475228
0.3,lowest_unc,edl,2523,20,0.007927070947284977,2129,374,16,4,0.1545778834720571,0.14942069516580103,0.8,0.14751847936583432
0.3,lowest_unc,origin,2523,20,0.007927070947284977,2381,122,19,1,0.0558858501783591,0.04874151018777467,0.95,0.14751847936583432
0.5,highest_unc,edl,4204,34,0.008087535680304472,3716,454,18,16,0.11227402473834443,0.10887290167865707,0.5294117647058824,0.14774643780209326
0.5,highest_unc,origin,4204,34,0.008087535680304472,4079,91,26,8,0.027830637488106564,0.02182254196642686,0.7647058823529411,0.14774643780209326
0.5,lowest_unc,edl,4204,32,0.007611798287345386,3748,424,27,5,0.10727878211227403,0.10162991371045062,0.84375,0.14756952953377736
0.5,lowest_unc,origin,4204,32,0.007611798287345386,4049,123,31,1,0.03663177925784967,0.029482262703739215,0.96875,0.14756952953377736
