group_by,group,n,pos,unc_mean,unc_median,unc_q10,unc_q25,unc_q75,unc_q90,prob1_mean,origin_score_mean,origin_margin_unc_mean
y,0,8343,0,0.14765691892724442,0.14766309,0.14755416799999999,0.14761660999999998,0.147703685,0.147744384,0.481530208578449,0.45413808194721944,0.9045444795028863
y,1,66,66,0.1477926545454546,0.147674275,0.14749105,0.1476177675,0.14772956999999998,0.14845515,0.5055368737878788,0.46785791173125757,0.9250742558277014
edl_outcome,FN,45,45,0.14763620577777778,0.14764367,0.1475623,0.14761701,0.14769751,0.147716392,0.4794332633333333,0.45587354964680143,0.9117470992936029
edl_outcome,FP,878,0,0.14770552167425968,0.14768087,0.147071087,0.147507935,0.1479439725,0.148343172,0.5367198440888383,0.4854492399850033,0.939965569348433
edl_outcome,TN,7465,0,0.1476512024889484,0.14766286,0.14757219600000002,0.1476204,0.14769992,0.147731932,0.4750390498405894,0.450455403212166,0.9003784089222581
edl_outcome,TP,21,21,0.1481279019047619,0.14800069,0.14748514,0.14768058,0.14871176,0.14895935,0.5614731819047618,0.4935386876265208,0.9536324484007699
origin_outcome,FN,57,57,0.14774363701754387,0.1476481,0.147491634,0.14761701,0.14770544,0.147973572,0.4946158619298246,0.45970239137348373,0.9194047827469675
origin_outcome,FP,214,0,0.14742421261682243,0.1472851,0.146487529,0.14671805499999999,0.14811352749999998,0.148446773,0.5496348586448597,0.5363708444844897,0.9272583110310207
origin_outcome,TN,8129,0,0.14766304503751998,0.1476633,0.14756371,0.14761871,0.14770302,0.147740176,0.47973731952515686,0.4519732632508268,0.9039465265016536
origin_outcome,TP,9,9,0.14810309888888887,0.14800069,0.147595204,0.14772378,0.14840484,0.148849706,0.5747032822222223,0.5195095406638252,0.9609809186723497
