decile,n,unc_min,unc_max,unc_mean,true_pos_rate,edl_pred_pos_rate,origin_pred_pos_rate,edl_TN,origin_TN,edl_FP,origin_FP,edl_FN,origin_FN,edl_TP,origin_TP
D1,841,0.14582132,0.1475539,0.14735601234244947,0.009512485136741973,0.32461355529131986,0.14387633769322236,564,713,269,120,4,7,4,1
D2,841,0.14755403,0.14760374,0.14758307497027348,0.005945303210463734,0.08799048751486326,0.0011890606420927466,762,835,74,1,5,5,0,0
D3,841,0.14760377,0.14762786,0.14761635078478003,0.008323424494649227,0.036860879904875146,0.0011890606420927466,803,833,31,1,7,7,0,0
D4,841,0.14762786,0.14764643,0.1476372631510107,0.009512485136741973,0.03329369797859691,0.0011890606420927466,806,832,27,1,7,8,1,0
D5,841,0.14764644,0.14766313,0.14765505771700357,0.0047562425683709865,0.027348394768133173,0.0,814,837,23,0,4,4,0,0
D6,840,0.14766316,0.14767809,0.14767043217857143,0.002380952380952381,0.014285714285714285,0.0,826,838,12,0,2,2,0,0
D7,841,0.1476781,0.1476948,0.1476861202140309,0.005945303210463734,0.030915576694411414,0.0047562425683709865,811,832,25,4,4,5,1,0
D8,841,0.1476949,0.14771412,0.14770414701545778,0.008323424494649227,0.03804994054696789,0.0,802,834,32,0,7,7,0,0
D9,841,0.14771418,0.14774467,0.1477279599643282,0.0047562425683709865,0.04637336504161712,0.005945303210463734,800,834,37,3,2,2,2,2
D10,841,0.14774477,0.14995676,0.1479434392627824,0.019024970273483946,0.4292508917954816,0.1070154577883472,477,741,348,84,3,10,13,6
