name,split,n,pos,neg,pred_pos,pred_pos_rate,threshold,auc,ap,acc,bacc,f1,sensitivity,specificity,tn,fp,fn,tp
kl=0.01:native0.5,all,42857,307,42550,42857,1.0,0.5,0.669464358849715,0.030198417426931662,0.007163357211190704,0.5,0.014224816977110555,1.0,0.0,0,42550,0,307
kl=0.01:val_bacc_thr,all,42857,307,42550,16084,0.37529458431528107,0.52519266292,0.669464358849715,0.030198417426931662,0.6266887556291855,0.632520238692169,0.023915563418949425,0.6384364820846905,0.6266039952996475,26662,15888,111,196
kl=0.01:native0.5,train,29401,205,29196,29401,1.0,0.5,0.6555604008567829,0.030029032931693164,0.006972551954015169,0.5,0.013848544214010673,1.0,0.0,0,29196,0,205
kl=0.01:val_bacc_thr,train,29401,205,29196,10913,0.3711778510935002,0.52519266292,0.6555604008567829,0.030029032931693164,0.6302166592973029,0.6152144129332785,0.022126281705342688,0.6,0.630428825866557,18406,10790,82,123
kl=0.01:native0.5,val,5047,36,5011,5047,1.0,0.5,0.7403711833965276,0.03092770493775239,0.007132950267485635,0.5,0.014164863269722605,1.0,0.0,0,5011,0,36
kl=0.01:val_bacc_thr,val,5047,36,5011,1987,0.39369922726372103,0.52519266292,0.7403711833965276,0.03092770493775239,0.6106597978997425,0.7074075921860795,0.028670291646070194,0.8055555555555556,0.6092596288166034,3053,1958,7,29
kl=0.01:native0.5,test,8409,66,8343,8409,1.0,0.5,0.6742487805055226,0.03967598246418239,0.00784873349982162,0.5,0.015575221238938054,1.0,0.0,0,8343,0,66
kl=0.01:val_bacc_thr,test,8409,66,8343,3184,0.37864193126412177,0.52519266292,0.6742487805055226,0.03967598246418239,0.6239743132358188,0.6451516241160253,0.02707692307692308,0.6666666666666666,0.6236365815653842,5203,3140,22,44
kl=0.1:native0.5,all,42857,307,42550,4222,0.09851366171220571,0.5,0.6670453997404854,0.03338831293603207,0.8993629978766596,0.6275526397378827,0.04769264738352837,0.3517915309446254,0.9033137485311399,38436,4114,199,108
kl=0.1:val_bacc_thr,all,42857,307,42550,26180,0.6108687028956763,0.47359333986,0.6670453997404854,0.03338831293603207,0.3929813099376998,0.5794999559820406,0.017820062672254312,0.7687296416938111,0.3902702702702703,16606,25944,71,236
kl=0.1:native0.5,train,29401,205,29196,2860,0.09727560287065065,0.5,0.6615173645571227,0.032900994813669246,0.9009217373558722,0.6376880895812658,0.04959216965742251,0.37073170731707317,0.9046444718454583,26412,2784,129,76
kl=0.1:val_bacc_thr,train,29401,205,29196,17855,0.6072922689704432,0.47359333986,0.6615173645571227,0.032900994813669246,0.39593891364239314,0.5626443147908667,0.016611295681063124,0.7317073170731707,0.3935813125085628,11491,17705,55,150
kl=0.1:native0.5,val,5047,36,5011,463,0.09173766594016247,0.5,0.6570045899022152,0.045681858947251866,0.9054884089558153,0.6076769994900109,0.04408817635270541,0.3055555555555556,0.9097984434244661,4559,452,25,11
kl=0.1:val_bacc_thr,val,5047,36,5011,3181,0.6302754111353279,0.47359333986,0.6570045899022152,0.045681858947251866,0.3748761640578562,0.6162470343023128,0.019272614236866645,0.8611111111111112,0.37138295749351424,1861,3150,5,31
